authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
Mark Rendle,2011-07-14T10:57:57.023Z,SQL Server ADO provider for the Simple.Data data access library.,Simple.Data.SqlServer,False,2014-11-01T14:45:01.297-07:00,True,,"sqlserver,database,data,ado,.net40",195037,False,0.7.2
Telerik Inc.,2011-07-13T13:23:25.183Z,An easy-to-use mocking tool with unlimited capabilities,JustMock,False,2018-01-18T12:41:07.12+00:00,True,,,239383,False,2011.2.713
Simon Green,2011-07-11T01:46:21.887Z,Embedly Client for .NET,embedly,False,2012-07-03T14:52:03.513-07:00,True,,embedly,5675,False,0.3.0
Twilio,2011-07-20T06:25:18.577Z,Twilio REST API helper library,Twilio,False,2018-04-13T21:01:44.213+00:00,True,,"REST,SMS,voice,telephony,phone,twilio,twiml,ASPNETWEBPAGES",1992942,False,3.0.1
"Joshua Arnold,Jaime Febres,Alex Henning Johannessen,Jeremy D. Miller",2011-07-18T22:22:33.123Z,Support for using the Spark view engine within a FubuMVC application.,FubuMVC.Spark,False,2017-01-31T12:51:04.08-08:00,True,,"fubumvc,spark",104931,False,0.9.1.531
Bryan Watts,2011-07-17T04:48:20.903Z,Cloak is a set of functionality cultivated over the years.,Cloak,False,2012-06-02T23:08:25.987-07:00,True,Filling the gaps,utility,4016,False,0.3.4
"Kevin Moore,Robby Ingebretsen,Derek Lakin",2011-07-08T22:43:14.323Z,"A collection of helpers and controls for .NET, WPF and Silverlight.",PixelLab.Common,False,2012-06-12T13:58:54.09-07:00,True,,,10198,False,3.0.0
Microsoft,2011-07-12T02:12:11.283Z,"Provides unit testing helpers, in memory persistence, mocking support and more",Microsoft.Activities.UnitTesting,False,2012-06-28T15:15:14.14-07:00,True,Unit Testing framework for Windows Workflow Foundation,,80412,False,1.8.4.711
Guilherme Balena Versiani,2011-07-20T13:40:10.723Z,Lucene Steroids replicates the Lucene.NET database between several machines (in a master-slave disposition) using cwRsync to sync files.,Lucene.Steroids,False,2011-12-02T04:54:48.167-08:00,True,Lucene Steroids adds replication to your Lucene.NET application.,"lucene,text,search,replication,rsync",3511,False,1.0.0.5
Zach Shewmaker,2011-07-11T01:42:50.157Z,Job scheduling library for .NET,Khronos,False,1899-12-31T16:00:00-08:00,False,,Scheduling,1645,False,0.1.0
WP7Contrib,2011-07-15T21:11:10.467Z,"WP7Contrib UI controls assemblies, contains the UI controls, behaviours, transitions & more.
Contains the following assemblies:

WP7Contrib.View.Controls.dll
WP7Contrib.View.Transitions.dll",WP7Contrib.Controls,False,2011-11-30T03:13:47.773-08:00,True,WP7Contrib UI controls & transitions assemblies,"wp7,wp7contrib",3747,False,1.0.0.10
"Daniel Cazzulino,kzu,Clarius",2011-07-19T20:27:24.733Z,Allows calling Invoke on the WPF Dispatcher object passing Action and Func<T> lambdas instead of the built-in Delegate untyped parameter.,netfx-System.Windows.Threading.DispatcherInvokeExtensions,False,2011-07-19T13:27:25.76-07:00,True,,"netfx,wpf,presentation,dispatcher,threading",3830,False,1.0.0
Alexander Reinert,2011-07-19T17:41:38.767Z,"ARSoft.Tools.Net contains a complete managed .Net SPF query, SenderID query and dns client and dns server implementation. In addition there are extension methods for encoding and decoding of Base16, Base32 and Base64",ARSoft.Tools.Net,False,2017-09-30T19:28:27.863+00:00,True,"ARSoft.Tools.Net contains a complete managed .Net SPF query and dns client and dns server implementation. In addition there are extension methods for encoding and decoding of Base16, Base32 and Base64","dns,spf,senderid,domain,mx,base16,base32,base64",132290,False,1.6.0
"Udi Dahan,Andreas Ohlund,Matt Burton,Jonathan Oliver et al",2011-07-18T20:56:09.087Z,"The testing for the nservicebus, The most popular open-source service bus for .net",NServiceBus.Testing,False,2018-02-16T08:24:31.56+00:00,True,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",322325,False,2.5.0.1476
Darren Cauthon,2011-07-14T13:55:43.41Z,An auto-mocking container for Moq.,AutoMoq,False,2016-05-25T17:24:58.917+00:00,True,"An auto-mocking container for Moq. When this container ""resolves"" a class, it fills all dependencies with mocks, saving you the trouble of instantiating every mock by hand. You can access the mocks before and after the resolution.",,156786,False,1.5.0
Attila Kiskó,2011-07-18T16:04:07.55Z,Membase client library for .NET based languages.,Membase,False,1899-12-31T16:00:00-08:00,False,,"membase,enyim,cache,caching,nosql",-1,False,2.13.0
Steve Michelotti,2011-07-15T03:08:32.547Z,Scaffolders for WCF Web API services with repositories and data contexts,WebApi.Scaffolding,False,2012-06-21T12:18:43.49-07:00,True,Scaffolders for WCF Web API services with repositories and data contexts,,4661,False,0.1.0
Derik Whittaker,2011-07-17T16:14:16.907Z,My package description.,CommonServiceLocator.Silverlight,False,2011-07-17T09:23:44.007-07:00,True,,"Silverlight,IoC,Common,Service,Locator",52239,False,1.0.0
v-huhu,2011-07-16T08:35:52.8Z,Package description,v-huhu,False,2011-07-16T01:35:53.93-07:00,True,,"Tag1,Tag2",1551,False,1.1.0
Jay Tuley,2011-07-09T04:26:11.523Z,A Lightweight Duck Casting Framework for dynamic C# 4.0 (.net4 & silverlight4). Includes helper methods for dynamic invocation via method and property names known only at runtime (runs faster than reflection).,ImpromptuInterface,False,2018-04-05T06:17:21.003+00:00,True,,"ducktyping,duckcasting,dynamic,.net40,Silverlight,proxy,impromptu,interface,reflection,dlr",406457,False,5.5.6
Michael L Perry,2011-07-19T22:47:48.817Z,Add to a Silverlight application project. Sets up isolated storage and POX synchronization.,Correspondence.Silverlight.App,False,1899-12-31T16:00:00-08:00,False,,"nosql,database,silverlight,synchronize",-1,False,1.2.0.1
"Jim Zimmerman,Nathan Totten,Prabir Shrestha",2011-07-11T10:30:12.097Z,The Facebook C# SDK MVC component.,FacebookWebMvc,False,1899-12-31T16:00:00-08:00,False,,Facebook,-1,False,5.0.50
Outercurve Foundation,2011-07-16T10:39:11.153Z,"MvcContrib was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework.",MvcContrib.Mvc3-ci,False,2012-03-26T15:33:39.867-07:00,True,"MvcContrib was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework.",mvc,243175,False,3.0.79
"Jordan Marr,Rick Schott(NuGet)",2011-07-15T04:18:42.74Z,Marr DataMapper is a Linq enabled ORM that allows you to project views into complex object graphs.,MarrDataMapper,False,2015-09-15T21:59:48.453+00:00,True,,ORM,20440,False,3.9.4212.33537
Calabonga,2011-07-14T23:25:29.667Z,"Simple Data classes for testing or tutorial applications. For example, class Person with some properties and class People (a set of Person). In this release added SampleData for Silvetlight app.",SampleData,False,2013-01-01T01:33:19.373-08:00,True,,"data,classes,sample,simple,testing,silverlight,calabonga",3126,False,1.0.6
Arquitectura Binara,2011-07-13T10:05:08.1Z,Web classes of LessFramework,Less.Web,False,2011-09-30T03:32:16.767-07:00,True,,,4888,False,1.8.0
v-huhu,2011-07-16T08:30:14.94Z,Package description,v-huhu,False,2011-07-16T01:35:53.93-07:00,True,,"Tag1,Tag2",1551,False,1.0.0
Onpoint On Demand,2011-07-12T18:38:58.003Z,"Fluent JDF contains everything you need to quickly
      add JDF capabilities to any client application.  It includes powerful tools
      that allow you to easily author, parse and send JDF from your client applications.
      This package uses Castle Windsor and NLog.  Support for log4net and other IoC
      containers is coming soon.  If you have a favorite IoC container you would like
      to see supported, let us know on the forums.",FluentJdf,False,1899-12-31T16:00:00-08:00,False,JDF Client Library for .NET (Debug),"jdf,fluent",5686,False,0.1.3.2
Calabonga,2011-07-11T22:27:08.273Z,Simple PagedList extentions with Paged HtmlExtention for ASP.NET MVC3 (razor).,PagedListExt,False,2015-01-27T16:16:51.157-08:00,True,,"pager,pagedlist,calabonga,extention,ui",21737,False,0.3.2
"Chad Myers,Jeremy D. Miller,Joshua Flanagan",2011-07-14T22:33:51.45Z,"Minimal assembly references needed for a FubuMVC application. FubuMVC is a compositional, convention-based framework for complex web applications",FubuMVC.References,False,2013-08-06T05:44:36.32-07:00,True,,"web,framework,mvc,fubumvc",57975,False,0.9.1.528
Jaroslaw Kowalski,2011-07-18T14:24:47.527Z,Empty NLog.config file.,NLog.Config,False,2018-04-06T22:57:00.317+00:00,True,Empty NLog.config file for use with NLog.,,2721030,True,2.0.0.2000
Robert McLaws,2011-07-16T00:42:35.767Z,A code library with extension methods to help configure Windows Azure Role Instances. Requires the Windows Azure SDK 1.4 or later.,WindowsAzure.RoleTools,False,2011-09-03T13:26:09.237-07:00,True,,"Windows,Azure",6844,False,0.4.3
Rob Gibbens,2011-07-19T19:45:56.38Z,A MongoDb health check for the Wolfpack Distributed Monitoring System. Requires logging to a MongoDb instance using the log4Mongo package.,Wolfpack.Contrib.Checks.MongoDb,False,2014-07-02T16:19:37.23-07:00,True,A MongoDb health check for the Wolfpack Distributed Monitoring System.,"Wolfpack,Monitoring",3368,False,1.1.0
Robert McLaws,2011-07-16T00:52:08.5Z,A code library with extension methods to help configure Windows Azure Role Instances. Requires the Windows Azure SDK 1.4 or later.,WindowsAzure.RoleTools,False,2011-09-03T13:26:09.237-07:00,True,,"Windows,Azure",6844,False,0.4.4
Phil Haack,2011-07-14T20:56:42.533Z,Sample code from Chapter 3 of the Professional ASP.NET MVC 3 book by Wrox.,Wrox.ProMvc3.Views.ViewModel,False,2011-07-14T13:56:43.16-07:00,True,,,4906,False,3.0.0
Tyler Brinks,2011-07-19T17:42:45.507Z,"SNAP makes AOP easy by integrating with your favorite IoC container.  SNAP does not modify compiled code (unlike PostSharp) .  
    It uses your IoC container to create runtime-callable wrappers to intercept your method calls.  Source code for SNAP is hosted at http://github.com/Acoustic/Snap",SNAP,False,2014-01-08T12:03:12.537-08:00,True,,"SNAP,Simple,Aspects,AOP,Aspect,Oriented,Programming",16581,False,1.6.0
Michiel Post,2011-07-16T22:23:39.727Z,"Quickstart for using Entity Framework Code First, includes Generic Repository for EF. Part of the Quickstart Series.",quickstart.ef,False,1899-12-31T16:00:00-08:00,False,,"entity,framework",-1,False,1.0.0
Andy Alm,2011-07-14T19:40:06.8Z,A full featured web resource/asset management framework for ASP.NET and ASP.NET Mvc.,Assman.Core,False,2013-10-24T17:33:19.173-07:00,True,,"javascript,css,mash,consolidation,mvc",8285,False,2.0.2
Outercurve Foundation,2011-07-16T10:39:19.45Z,"MvcContrib was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework. The TestHelper component provides additional utilities that aid in unit testing ASP.NET MVC projects.",MvcContrib.Mvc3.TestHelper-ci,False,2012-03-26T15:33:49.833-07:00,True,"MvcContrib was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework. The TestHelper component provides additional utilities that aid in unit testing ASP.NET MVC projects.",mvc,191373,False,3.0.79
Arquitectura Binaria,2011-07-15T10:15:30.96Z,"Less Core services: Config, Log, Data",Less,False,2011-09-30T03:31:02.487-07:00,True,A framework with less mass,,54884,False,1.9.4
"Chad Myers,Jeremy D. Miller,Joshua Flanagan",2011-07-18T22:22:40.403Z,Support for using the ASP.NET WebForms view engine within a FubuMVC application.,FubuMVC.WebForms,False,2013-08-06T05:45:02.56-07:00,True,,"webforms,fubumvc",55171,False,0.9.1.531
Davy Brion,2011-07-16T09:44:21.023Z,"Agatha Request/Response Service Layer - Common, for StructureMap. Don't forget to install Agatha-ServiceLayer-StructureMap as well for the server-side bits",Agatha-Common-StructureMap,False,2012-07-22T06:59:55.847-07:00,True,,,3922,False,1.3.0
Scott Allen,2011-07-14T20:55:33.287Z,Sample code from Chapter 8 of the Professional ASP.NET MVC 3 book by Wrox.,Wrox.ProMvc3.Ajax.Templates,False,2011-07-14T13:55:34.033-07:00,True,,,1617,False,3.0.0
Tatham Oddie and Jamal Abreu,2011-07-15T06:18:23.687Z,"High performance, distributed unique id generator for Azure environments.",SnowMaker,False,2013-10-08T16:03:09.38-07:00,True,,Azure,44267,False,1.0.0.22
Bryan Watts,2011-07-15T04:19:27.443Z,Never set up IContainerProviderAccessor and AutofacHostFactory by hand again,Cloak.Web.Autofac,False,2011-07-14T21:46:27.207-07:00,True,Easily create web applications with Autofac integration,"utility,web",1290,False,0.3.3
Zach Shewmaker,2011-07-11T04:17:04.993Z,Job scheduling library for .NET,Khronos,False,1899-12-31T16:00:00-08:00,False,,Scheduling,1645,False,0.2.0
Outercurve Foundation,2011-07-12T10:46:12.143Z,"MvcContrib was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework. The TestHelper component provides additional utilities that aid in unit testing ASP.NET MVC projects.",MvcContrib.Mvc3.TestHelper-ci,False,2012-03-26T15:33:49.833-07:00,True,"MvcContrib was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework. The TestHelper component provides additional utilities that aid in unit testing ASP.NET MVC projects.",mvc,191373,False,3.0.76
Bjoern Rochel,2011-07-20T11:04:43.24Z,"Machine.Fakes attempts to simplify the usage of such frameworks on top of Machine.Specifications by helping to reduce a lot of the typical fake framwork related clutter code in specifications. If you choose so, Machine.Fakes even helps you to stay mostly independent of a concrete fake framework by providing a little wrapper API and a provider model for fake frameworks.  This is the adapter for Moq 4.0.10827",Machine.Fakes.Moq,False,2017-10-15T07:52:45.24+00:00,True,,"tdd,bdd,testing,unittest,fakes,mocks",85859,False,0.2.5
Ricardo Pinto,2011-07-11T15:28:35.347Z,Um Teste,testeNuget,False,2011-07-11T08:28:37.147-07:00,True,,"Tag1,Tag2",1187,False,1.0.0
"Kevin Moore,Robby Ingebretsen,Derek Lakin",2011-07-08T23:56:13.917Z,"A collection of helpers and controls for .NET, WPF and Silverlight.",PixelLab.BOT,False,2012-06-12T13:59:23.213-07:00,True,,,13165,False,3.0.0
Javier Lozano,2011-07-12T04:20:48.19Z,SimpleID is a plugin for ASP.NET MVC that provides a simple Relying Party implementation for OpenID.,SimpleID,False,2011-07-11T21:20:48.857-07:00,True,SimpleID uses DotNetOpenAuth to implement a simple Relying Party for consumers to utilize within their ASP.NET MVC applications.,"ASP.NET,MVC,OpenID,DotNetOpenAuth",1523,False,1.0.0
Bjoern Rochel,2011-07-20T09:03:55.917Z,"Machine.Fakes attempts to simplify the usage of such frameworks on top of Machine.Specifications by helping to reduce a lot of the typical fake framwork related clutter code in specifications. If you choose so, Machine.Fakes even helps you to stay mostly independent of a concrete fake framework by providing a little wrapper API and a provider model for fake frameworks.  This is the adapter for FakeItEasy 1.7.4166.27",Machine.Fakes.FakeItEasy,False,2017-10-15T07:52:32.793+00:00,True,,"tdd,bdd,testing,unittest,fakes,mocks",36450,False,0.2.4
Tatham Oddie and Jamal Abreu,2011-07-15T05:59:39.437Z,"High performance, distributed unique id generator for Azure environments.",SnowMaker,False,2013-10-08T16:03:09.38-07:00,True,,Azure,44267,False,1.0.0.21
Tomasz Pęczek,2011-07-17T23:00:22.69Z,"Lib.Web.Mvc is a library which contains some helper classes for ASP.NET MVC such as strongly typed jqGrid helper, XSL transformation HtmlHelper/ActionResult, custom attributes and more.",Lib.Web.Mvc,False,2017-04-30T09:29:56.843-07:00,True,,"MVC,MVC3,ASP.NET,jqGrid",63345,False,3.2.0
"Marc Gravell,Sam Saffron,Jarrod Dixon",2011-07-19T04:34:41.043Z,"Lightweight mini-profiler, in particular designed for ASP.NET MVC 3 sites",MiniProfiler,False,2017-10-30T01:53:20.47+00:00,True,,"profiler,sql,mvc,asp.net,performance,timing",2602268,True,1.5.0
Jonathan Oliver,2011-07-11T15:37:25.207Z,"On top of EventStore, the JSON Serializer is a plugin serializer for saving events to a commit stream.

The EventStore is a persistence library used to abstract different storage implementations when using event sourcing as storage mechanism. Event sourcing is most closely associated with a concept known as CQRS.  The purpose of the EventStore is to represent a series of events as a stream. Furthermore, it provides hooks whereby any events committed to the stream can be dispatched to interested parties. The EventStore liberates application developers from this level of infrastructure awareness and concern by committing all work within a separate isolated atomic unit--all without using transactions. Furthermore, it does this outside of any ambient transaction from a message queue or other persistence mechanisms.",EventStore.Serialization.Json,False,1899-12-31T16:00:00-08:00,False,EventStore for CQRS projects. The EventStore is a persistence library used to abstract different storage implementations when using event sourcing as storage mechanism.,"events,cqrs",-1,False,2.0.11157
Tatham Oddie and Jamal Abreu,2011-07-14T01:03:53.98Z,"High performance, distributed unique id generator for Azure environments.",SnowMaker,False,2013-10-08T16:03:09.38-07:00,True,,Azure,44267,False,0.0.1.1
