authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
sukchr,2012-01-02T14:44:15.047Z,"A C# library on top of the JIRA SOAP service, including a JIRA log4net appender.",Logira,False,2016-09-14T12:22:39.393-07:00,True,,"logging,jira",5632,False,1.2.0
"Udi Dahan,Andreas Ohlund,Matt Burton,Jonathan Oliver et al",2012-01-03T12:26:24.057Z,"The WebServices Integration for the nservicebus, The most popular open-source service bus for .net",NServiceBus.Integration.WebServices-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.1918
Roman Kuzmin,2012-01-04T06:09:17.823Z,"SplitPipeline is a PowerShell module for parallel data processing. The cmdlet
Split-Pipeline splits input and processes its parts by parallel pipelines. The
algorithm works without having the entire input available, it is well designed
for large or even infinite input.",SplitPipeline,False,2016-06-15T10:56:35.997-07:00,True,"SplitPipeline is a PowerShell module for parallel data processing. The cmdlet
Split-Pipeline splits input and processes its parts by parallel pipelines. The
algorithm works without having the entire input available, it is well designed
for large or even infinite input.","PowerShell,Module,Parallel",8741,False,0.4.0
Jeffrey Becker,2012-01-03T19:46:26.46Z,A tool to make customizing authentication and authorization easier.,EzAuth,False,2012-01-03T11:46:26.46-08:00,True,,FormsAuthentication,2189,False,1.0.0.4
"Joshua Arnold,Jeremy D. Miller,et al.",2011-12-30T21:33:11.787Z,"FubuValidation - have validation your way, whatever way that happens to be",FubuValidation,False,2014-03-01T07:58:02.463-08:00,True,,"fubu,validation,fubumvc,conventional",72350,False,0.4.0.169
Trevor Scharf,2012-01-03T21:27:44.617Z,This plugin is used to help integrate jqGrid into ASP.NET MVC and Entity framework and Code First.,JQGridMvc,False,1899-12-31T16:00:00-08:00,False,This plugin is used to help integrate jqGrid into ASP.NET MVC and Entity framework and Code First.,,11449,False,1.31.0
Mike Jansen,2012-01-03T00:25:29.65Z,"Abstraction layer for common framework components like IoC, logging, etc.",CommonFramework,False,2012-09-16T05:01:43.617-07:00,True,,"FRAMEWORK,ABSTRACTION",3663,False,0.5.0
"Daniel Cazzulino,kzu,Clarius",2011-12-30T18:02:55.24Z,xUnit tests for netfx-Patterns.EventSourcing,netfx-Patterns.EventSourcing.Tests.xUnit,False,2012-01-22T22:35:46.227-08:00,True,,"netfx,event,sourcing,ddd,patern",3747,False,1.0.0.6
James Craig,2011-12-30T19:47:01.683Z,"Craig's Utility Library is one of the largest collections of utility classes and extension methods for .Net. It includes code to help with tasks including encryption, compression, serialization, file management, email, image manipulation, Active Directory, Exchange, SQL, various file formats (CSV, iCal, etc.), Cisco phone apps, WMI queries, randomization, math related classes, various data types, OAuth, OpenID, REST, reflection, code gen, various web services (Twitter, Hulu, Netflix, etc.), events, speech synthesis, speech recognition, code profiling, etc. Note that this is the package that will be updated going forward.",CraigsUtilityLibrary-Configuration,False,2016-08-22T09:46:26.787-07:00,True,,"utility,utilities",49233,False,3.0.3
"Udi Dahan,Andreas Ohlund,Matt Burton,Jonathan Oliver et al",2012-01-04T07:32:02.967Z,The Autofac Container for the nservicebus,NServiceBus.Autofac-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.1922
