authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
Ed Charbeneau,2012-04-12T15:49:01.813Z,"Welcome to Foundation
Foundation is a rock-solid, responsive framework for rapidly prototyping and iterating into production code. It includes a 12-column, future-friendly grid and tons of great tools and elements that'll get you up and running in no time. Clone the repo to get the marketing site, docs, and base source. You can also visit http://foundation.zurb.com to download just the base source as a starting boilerplate.

Homepage: http://foundation.zurb.com
Documentation: http://foundation.zurb.com/docs
Download: http://foundation.zurb.com/files/foundation-download.zip

Foundation is MIT-licensed and absolutely free to use. Foundation wouldn't be possible without the support of the entire ZURB team, our friends and colleagues who gave feedback, and some luminaries who did some heavy lifting that we took advantage of (thanks guys).",Zurb_Foundation_MVC3,False,2012-04-12T08:49:05.267-07:00,True,"Zurb Foundation HTML Boilerplate, CSS, JS, Plugins
An easy to use, powerful, and flexible framework for building prototypes and production code on any kind of device.","HTML,CSS,MVC,Template,Boilerplate,Javascript,Prototyping",6031,False,0.4.221
"XAct Software Solutions,Inc.",2012-04-11T09:23:09.003Z,Common code specific Collections,XAct.Collections,False,2017-02-08T17:56:52.837-08:00,True,,"XAct,XActLib",99101,False,0.0.304
Matthew Schrager,2012-04-12T14:43:27.717Z,A generic implementation for the repository pattern.,Repository,False,2016-02-23T13:37:48.5-08:00,True,,"Tag1,Tag2",29331,False,1.0.0.6
"XAct Software Solutions,Inc.",2012-04-11T02:37:59.887Z,An XActLib Assembly: a library containing services for controling K2 from an MVC or other app.,XAct.Workflows.K2.Client,False,2012-11-11T02:47:48.753-08:00,True,,"XAct,XActLib",35314,False,0.0.302
"XAct Software Solutions,Inc.",2012-04-11T11:07:09.043Z,An XActLib Assembly: a library to manage user Profile settings in a modular and serializable way.,XAct.Settings.Profile,False,1899-12-31T16:00:00-08:00,False,,"XAct,XActLib",-1,False,0.0.309
Jon Skeet,2012-04-12T20:00:18.257Z,"Provides extra types which may be useful when testing code
      which uses Noda Time, such as a fake programmable
      implementation of IClock and a time zone which has a fixed
      transition. These types are also used to test Noda Time itself.",NodaTime.Testing,True,2018-03-25T16:13:28.72+00:00,True,,"nodatime,testing",192387,False,1.0.0-beta1
Robert MacLean,2012-04-13T13:33:41.17Z,The goal of AtomicPhoneMVVM is to allow developers to work with MVVM in their Windows Phone projects with minimal effort while not getting in the way of the code. It requires Windows Phone 7.1 or higher.,AtomicPhoneMVVM,False,2012-08-29T02:48:51.037-07:00,True,A supremely lightweight MVVM framework for Windows Phone.,"WindowsPhone71,WindowsPhone,WP7,WP7.1,WindowsPhone7.1,MVVM,BINDING,SL,Convention,Model-View-ViewModel,Model,View,Presentation,UI,ViewModel,mvvmlight,data",2217,False,1.0.0
Josh Rolstad,2012-04-13T04:12:59.26Z,Tools for persisting to different data providers,Rolstad.Data,False,1899-12-31T16:00:00-08:00,False,,"system,data,aws,mapping,simpledb",1257,False,1.1.0
"Udi Dahan,Andreas Ohlund,Jonathan Matheus,Jonathan Oliver et al",2012-04-11T17:43:18.91Z,Azure support for NServicebus,NServiceBus.Azure-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.2172
"blueimp,Ramyhhh",2012-04-11T23:32:39.557Z,This package will create a partial view that represents the uploader that will use HttpHandler for uploading file into Files directory ...,jQuery.UI.Upload-File,False,1899-12-31T16:00:00-08:00,False,,"MVC,FileUpload,Upload",-1,False,1.0.2
Attila Losonc,2012-04-11T22:07:19.92Z,Speed up your work by using these HTML helpers to integrate jQuery UI into your ASP.NET MVC 4 application. Requires the .NET Framework 4 and ASP.NET MVC4.,jQueryUIHelpers.Mvc4,False,2015-10-11T02:44:12.78-07:00,True,The easy way to integrate jQuery UI into your ASP.NET MVC 4 application.,"jQueryUI,jQuery,MVC4",23633,False,0.4.0
