authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
Lasse V. Karlsen,2011-04-23T22:31:37.117Z,Mercurial command line client wrapper assembly for .NET 3.5 and 4.0,Mercurial.Net,False,2011-07-20T14:40:38.337-07:00,True,"A class library for .NET 3.5 and 4.0 that allows a program to execute the Mercurial DVCS command line client. The class library handles, and in most cases parses, the output and results of executing the command line client executable.",".NET,C#,Mercurial,DVCS",34321,False,0.1.0.302
Outercurve Foundation,2011-04-18T19:27:11.413Z,"MvcContrib was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework. The TestHelper component provides additional utilities that aid in unit testing ASP.NET MVC projects.",MvcContrib.Mvc3.TestHelper-ci,False,2012-03-26T15:33:49.833-07:00,True,"MvcContrib was designed to add functionality and ease-of-use to Microsoft's ASP.NET MVC Framework, MVC Contrib is useful for developers looking to develop and test UI elements on top of the ASP.NET MVC framework. The TestHelper component provides additional utilities that aid in unit testing ASP.NET MVC projects.",mvc,191373,False,3.0.66
Phil Haack,2011-04-16T19:07:24.367Z,Route Debugger is a little utility I wrote to help debug issues with route configurations. See http://haacked.com/archive/2008/03/13/url-routing-debugger.aspx,routedebugger,False,2016-04-13T14:09:34.78-07:00,True,Route Debugger is a little utility I wrote to help debug issues with route configurations. See http://haacked.com/archive/2008/03/13/url-routing-debugger.aspx,,787563,False,2.0.0.4
Oscar Brouwer,2011-05-01T19:10:45.473Z,Contains a number of helper-classes that can be utilized in combination with WCF services and proxies.,Enkoni.ServiceModel,False,2016-06-14T21:30:35.937-07:00,True,Contains a number of helper-classes that can be utilized in combination with WCF services and proxies.,,4111,False,1.0.0
"Igor Tkachenko,Nikolay Duylovskiy,Crystal Rich Ltd",2011-04-23T07:04:19.117Z,"LockHunter is a foolproof file unlocker. It is a free tool to delete files blocked by something you do not know. LockHunter is useful for fighting against malware, and other programs that are blocking files without a reason. Unlike other similar tools it deletes files into the recycle bin so you may restore them if deleted by mistake. 
| Please install with chocolatey (http://nuget.org/List/Packages/chocolatey).",lockhunter,False,1899-12-31T16:00:00-08:00,False,LockHunter is a foolproof file unlocker.,"lockhunter,unlocker,file,system,locked,files,chocolatey",-1,False,1.0.1
Phil Haack,2011-04-16T18:14:46.6Z,Route Debugger is a little utility I wrote to help debug issues with route configurations. See http://haacked.com/archive/2008/03/13/url-routing-debugger.aspx,routedebugger,False,2016-04-13T14:09:34.78-07:00,True,Route Debugger is a little utility I wrote to help debug issues with route configurations. See http://haacked.com/archive/2008/03/13/url-routing-debugger.aspx,,787563,False,2.0.0.2
Luke Lowrey,2011-04-30T04:59:15.803Z,A Fluent Wrapper for System.Net.Mail,fluent-email,False,2015-07-29T21:42:44.407-07:00,True,,"email,fluent",44562,False,1.0.0
Guillaume Collic,2011-04-28T16:22:00.457Z,"A .NET wrapper of Cleware usb devices, including their USB Traffic Light. Makes it easy to integrate them as eXtreme Feedback Devices for your continuous integration. The wrapper is fully documented, using the PDF documentation of Cleware.",ClewareWrapper,False,2011-04-28T09:22:32.74-07:00,True,,ContinuousIntegration,2009,False,1.2.0
Christopher Hill,2011-04-27T21:52:02.053Z,My package description.,HelloWorld.Toolkit,False,2011-04-28T09:15:12.817-07:00,True,this is the summary,Silverlight,2445,False,1.0.0
Jay Smith,2011-04-29T16:12:03.85Z,A configuration based handler for providing Real Simple Discovery support to your web application.,JaySmith.RealSimpleDiscovery,False,2011-04-29T09:13:26.663-07:00,True,,"RSD,RealSimpleDiscovery",1830,False,1.1.0
"Mark Russinovich,Bryce Cogswell",2011-04-23T08:08:13.037Z,"The Sysinternals Troubleshooting Utilities have been rolled up into a single suite of tools. This file contains the individual troubleshooting tools and help files. It does not contain non-troubleshooting tools like the BSOD Screen Saver or NotMyFault
|Please install with chocolatey (http://nuget.org/List/Packages/chocolatey).",sysinternals,False,1899-12-31T16:00:00-08:00,False,"Sysinternals - utilities to help you manage, troubleshoot and diagnose your Windows systems and applications.","sysinternals,troubleshooting,pstools,psexec,file,disk,utilities,tools,chocolatey",-1,False,1.0.0
Mark Rendle,2011-05-01T20:58:45.49Z,SQL Server ADO provider for the Simple.Data data access library.,Simple.Data.SqlServer,False,2014-11-01T14:45:01.297-07:00,True,,"sqlserver,database,data,ado,.net40",195037,False,0.6.1
"Microsoft,Drew Miller",2011-04-25T08:10:44.443Z,ColorCode is a library for colorizing source code (also known as syntax highlighting).,Fnord,False,1899-12-31T16:00:00-08:00,False,ColorCode is a library for colorizing source code (also known as syntax highlighting).,,-1,False,1.0.0
