authors,created,description,id,is_prerelease,last_updated,listed,summary,tags,total_downloads,verified,version
James Craig,2012-01-12T01:05:44.573Z,"Craig's Utility Library is one of the largest collections of utility classes and extension methods for .Net. It includes code to help with tasks including encryption, compression, serialization, file management, email, image manipulation, Active Directory, Exchange, SQL, various file formats (CSV, iCal, etc.), Cisco phone apps, WMI queries, randomization, math related classes, various data types, OAuth, OpenID, REST, reflection, code gen, various web services (Twitter, Hulu, Netflix, etc.), events, speech synthesis, speech recognition, code profiling, etc. Note that this is the package that will be updated going forward.",CraigsUtilityLibrary-Math,False,2015-07-17T18:57:25.943-07:00,True,,"utility,utilities",31071,False,3.0.8
"Udi Dahan,Andreas Ohlund,Matt Burton,Jonathan Oliver et al",2012-01-12T08:08:43.243Z,The Spring Container for the nservicebus,NServiceBus.Spring-CI,False,1899-12-31T16:00:00-08:00,False,,"nservicebus,servicebus,msmq,cqrs,publish,subscribe",-1,False,3.0.1959
eXpand,2012-01-13T00:58:05.637Z,IO Module (Win) / eXpand Framework,eXpandIOWin,False,2018-04-09T16:14:14.513+00:00,True,IO Module (Win) / eXpand Framework,"DevExpress,eXpand",68485,False,11.2.7.5
Manuel De Leon,2012-01-12T04:39:23.263Z,ClosedXML makes it easier for developers to create Excel 2007/2010 files. It provides a nice object oriented way to manipulate the files (similar to VBA) without dealing with the hassles of XML Documents. It can be used by any .NET language like C# and Visual Basic (VB).,ClosedXML_NET_4,False,1899-12-31T16:00:00-08:00,False,,"Excel,OpenXML",-1,False,0.62.1
Matt Wrock,2012-01-12T10:35:48.403Z,"RequestReduce allows any IIS based website to automaticaly sprite background images into a single optimized PNG as well as combine and minify CSS and Javascript with absolutely no coding beyond a few config tweaks. RequestReduce excercises common best practices when serving its javascript, css and sprited images ensuring that the appropriate caching headers are sent to the browser so that browsers will not need to pull down a new http response until absolutely necessary. Chances are you will see an immediate rise in your yslow and google page speed tests.",RequestReduce,False,2012-07-30T07:02:27.333-07:00,True,RequestReduce is a .Net Library and HttpModule providing automatic CSS background image optimization and spriting as well as CSS and Javascript merging and minification.,"CSS,Minification,Sprites,Website,Performance,Optimization,Compression,Minify,Javascript,YSLOW,AjaxMin,ASP.NET,Speed,Combine",42602,False,1.7.7
pmarkert,2012-01-13T20:16:12.743Z,"Adds simple repository pattern, Record base-class, Strongly-typed property name resolution, and some useful extension methods to the official MongoDB Driver.",Mongol,False,2013-04-29T19:01:42.183-07:00,True,Wrapper for the official MongoDB .Net Driver.,"mongo,mongodb",14669,False,0.10.4
James Craig,2012-01-12T01:05:37.317Z,"Craig's Utility Library is one of the largest collections of utility classes and extension methods for .Net. It includes code to help with tasks including encryption, compression, serialization, file management, email, image manipulation, Active Directory, Exchange, SQL, various file formats (CSV, iCal, etc.), Cisco phone apps, WMI queries, randomization, math related classes, various data types, OAuth, OpenID, REST, reflection, code gen, various web services (Twitter, Hulu, Netflix, etc.), events, speech synthesis, speech recognition, code profiling, etc. Note that this is the package that will be updated going forward.",CraigsUtilityLibrary-IO,False,2016-08-22T09:47:01.29-07:00,True,,"utility,utilities",122793,False,3.0.8
lotosbin,2012-01-11T08:32:21.64Z,some system extension,BinbinSystem,False,2012-01-11T00:32:21.64-08:00,True,,"string,extension,net40",3661,False,1.0.1.29607
James Craig,2012-01-13T01:05:52.957Z,"Craig's Utility Library is one of the largest collections of utility classes and extension methods for .Net. It includes code to help with tasks including encryption, compression, serialization, file management, email, image manipulation, Active Directory, Exchange, SQL, various file formats (CSV, iCal, etc.), Cisco phone apps, WMI queries, randomization, math related classes, various data types, OAuth, OpenID, REST, reflection, code gen, various web services (Twitter, Hulu, Netflix, etc.), events, speech synthesis, speech recognition, code profiling, etc. Note that this is the package that will be updated going forward.",CraigsUtilityLibrary-IoC,False,2016-08-22T09:47:12.233-07:00,True,,"utility,utilities",49791,False,3.0.9
Marc Gravell,2012-01-13T13:13:08.967Z,"In .NET reflection is slow... well, kinda slow. If you need access to the members of an arbitrary type, with the type and member-names known only at runtime - then it is frankly hard (especially for DLR types). This library makes such access easy and fast.",FastMember,False,2018-03-06T05:30:18.08+00:00,True,,"Reflection,Dynamic,Member,Access",458178,False,1.0.0.3
