Selenium.Support: ['Selenium.WebDriver', 'Selenium.WebDriverBackedSelenium', 'Selenium.RC', 'canopy', 'FluentAutomation.SeleniumWebDriver']
SharpZipLib: ['sharpcompress', 'Noemax.Compression', 'SharpGIS.GZipWebClient', 'DotNetZip', 'XAct.IO.Compression.ZipPackage']
Common.Logging: ['log4net', 'Ninject.Extensions.Logging', 'Ninject.Extensions.Logging.Log4net', 'ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net']
ServiceStack.Text: ['ServiceStack', 'ServiceStack.Common', 'ServiceStack.Logging.NLog', 'ServiceStack.Logging.Log4Net', 'Nancy.Serialization.ServiceStack']
NuGet.Build: ['NuGet.Core', 'NuGet.CommandLine', 'NuGet.Server', 'chocolatey', 'microsoft-web-helpers']
Ninject.Web.Common: ['Ninject', 'Nancy.Bootstrappers.Ninject', 'Ninject.Extensions.Conventions', 'Ninject.Extensions.Wcf', 'Ninject.Extensions.NamedScope']
OctoPack: ['NewRelicWindowsAzure', 'NuGet.Core', 'NuGet.CommandLine', 'Microsoft.Web.Administration', 'ServiceStack']
MySql.Data: ['MySql.Web', 'dotConnect.Express.for.MySQL', 'ServiceStack.OrmLite.MySql', 'MySQL.Data.Entities', 'Simple.Data.Mysql']
Moment.js: ['libphonenumber-csharp', 'ncrontab', 'Sammy.js', 'Ext.NET', 'Handlebars.js']
RazorEngine: ['FubuMVC.Razor', 'RazorGenerator.Templating', 'BouncyCastle', 'Nancy.Viewengines.Razor', 'Microsoft.Web.Administration']
OpenCover: ['ServiceStack', 'Stripe.net', 'FileHelpers', 'ReportGenerator', 'jQuery']
RabbitMQ.Client: ['RabbitMQ.ServiceModel', 'MassTransit.RabbitMQ', 'Burrow.NET', 'MassTransit', 'MassTransit.Log4Net']
NHibernate: ['NHibernate.Caches.SysCache', 'NHibernate.Caches.SysCache2', 'NHibernate.Envers', 'gribble.nhibernate', 'NHibernate.Validator']
