authors,created,days_abandoned,days_alive,description,id,is_prerelease,last_updated,listed,missing_info,summary,tags,total_downloads,verified,version
Com.Absolute.PS.DomainDrivenDesignNet451,2018-01-26T22:42:06.233Z,84,84,Domain-Driven Design classes for Professional Service .Net Framework 4.5.1 projects,Com.Absolute.PS.DomainDrivenDesignNet451,False,2018-01-26T22:42:06.233+00:00,True,False,,2.0.24,247,False,2.0.24
,,-1,-1,,E2E.SemVer2PrerelRelisted.180126.224035.0988434,,,,True,,,,,1.0.0-alpha.1
,,-1,-1,,E2E.SemVer2PrerelUnlisted.180126.224035.0988434,,,,True,,,,,1.0.0-alpha.1
,,-1,-1,,E2E.SemVer2DueToSemVer2Dep.180126.224035.0988434,,,,True,,,,,1.0.0-beta
EndToEndTests,2018-01-26T22:40:49.133Z,43209,84,Description of E2E.SemVer1StableUnlisted.180126.224034.8019462,E2E.SemVer1StableUnlisted.180126.224034.8019462,False,1900-01-01T00:00:00+00:00,False,False,,,-1,False,1.0.0
Core.Google.GData.Extensions,2018-01-26T22:37:43.9Z,84,84,Package Description,Core.Google.GData.Extensions,False,2018-01-26T22:37:43.9+00:00,True,False,,,124,False,1.0.2
,,-1,-1,,E2E.SemVer2StableMetadataUnlisted.180126.224035.0988434,,,,True,,,,,1.0.0+metadata
,,-1,-1,,E2E.SemVer2Prerel.180126.224035.0988434,,,,True,,,,,1.0.0-alpha.1
,,-1,-1,,E2E.SemVer2StableMetadata.180126.224035.0988434,,,,True,,,,,1.0.0+metadata
,,-1,-1,,E2E.SemVer2Prerel.180126.224035.0988434,,,,True,,,,,1.0.0-alpha.1
,,-1,-1,,E2E.SemVer2PrerelUnlisted.180126.224035.0988434,,,,True,,,,,1.0.0-alpha.1
,,-1,-1,,E2E.SemVer2PrerelRelisted.180126.224035.0988434,,,,True,,,,,1.0.0-alpha.1
,,-1,-1,,E2E.SemVer2DueToSemVer2Dep.180126.224035.0988434,,,,True,,,,,1.0.0-beta
Core.Google.GData.Extensions,2018-01-26T22:37:43.9Z,84,84,Package Description,Core.Google.GData.Extensions,False,2018-01-26T22:37:43.9+00:00,True,False,,,124,False,1.0.2
,,-1,-1,,E2E.SemVer2StableMetadataUnlisted.180126.224035.0988434,,,,True,,,,,1.0.0+metadata
EndToEndTests,2018-01-26T22:40:49.133Z,43209,84,Description of E2E.SemVer1StableUnlisted.180126.224034.8019462,E2E.SemVer1StableUnlisted.180126.224034.8019462,False,1900-01-01T00:00:00+00:00,False,False,,,-1,False,1.0.0
,,-1,-1,,E2E.SemVer2StableMetadata.180126.224035.0988434,,,,True,,,,,1.0.0+metadata
Shawn Shi,2018-01-26T22:07:52.537Z,84,84,For any .net web client,YZS.Client.Web,False,2018-01-26T22:07:52.537+00:00,True,False,For any .net web client,"YZS,Client",150,False,1.0.8
Shawn Shi,2018-01-26T22:07:28.597Z,84,84,For any .net client rather than web.,YZS.Client,False,2018-01-26T22:07:28.597+00:00,True,False,For any .net client rather than web.,"YZS,Client",689,False,1.0.8
Microsoft,2018-01-26T22:36:49.383Z,23,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.ApiHub. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.ApiHub,True,2018-03-28T20:17:26.29+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.ApiHub adds ApiHub triggers and bindings to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,ApiHub,windowsazureofficial,Web",6122,True,1.0.0-beta7
Microsoft,2018-01-26T22:36:49.383Z,23,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.ApiHub. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.ApiHub,True,2018-03-28T20:17:26.29+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.ApiHub adds ApiHub triggers and bindings to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,ApiHub,windowsazureofficial,Web",6122,True,1.0.0-beta7
Core.Google.GData.Exttensions,2018-01-26T22:30:00.72Z,43209,84,Package Description,Core.Google.GData.Exttensions,False,1900-01-01T00:00:00+00:00,False,False,,,-1,False,1.0.2
Shawn Shi,2018-01-26T22:06:28.767Z,84,84,YZS.Repository.AdoDotNet to be used for business layer for data access and ORM,YZS.Repository.AdoDotNet,False,2018-01-26T22:06:28.767+00:00,True,False,YZS.Repository.AdoDotNet to be used for business layer for data access and ORM,YZS.Repository.AdoDotNet,201,False,1.0.8
Absolute Professional Services Development,2018-01-26T22:24:01.13Z,43209,84,Absolute Public API wrapper written by Absoulte Professional Services development team.,Com.Absolute.PS.AbsolutePublicAPI,False,1900-01-01T00:00:00+00:00,False,False,,,-1,False,1.1.0
Marko Papic,2018-01-06T17:51:49.37Z,43209,104,"A library for .NET developers that enables patching entities by providing the minimal JSON payload, containing only the fields that need to be updated, thus reducing the network traffic.",PartialUpdater,True,1900-01-01T00:00:00+00:00,False,False,A library for partially updating entities over network.,,267,False,1.0.1-alpha
Core.Google.GData.Exttensions,2018-01-26T22:30:00.72Z,43209,84,Package Description,Core.Google.GData.Exttensions,False,1900-01-01T00:00:00+00:00,False,False,,,-1,False,1.0.2
Microsoft,2018-01-26T22:23:32.067Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.SendGrid. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.SendGrid,False,2018-03-26T20:40:33.99+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.SendGrid adds SendGrid binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,SendGrid,Email,windowsazureofficial,Web",59161,True,2.1.0
Microsoft,2018-01-26T22:24:11.88Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.Twilio. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.Twilio,False,2018-03-26T20:40:44.74+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.Twilio adds Twilio binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,Twilio,Email,windowsazureofficial,Web",5326,True,1.1.0
Marko Papic,2018-01-26T22:30:12.987Z,43209,84,"A library for .NET developers that enables patching entities by providing the minimal JSON payload, containing only the fields that need to be updated, thus reducing the network traffic.",PartialUpdater,True,1900-01-01T00:00:00+00:00,False,False,A library for partially updating entities over network.,,267,False,1.0.0-beta
Marko Papic,2018-01-26T22:30:12.987Z,43209,84,"A library for .NET developers that enables patching entities by providing the minimal JSON payload, containing only the fields that need to be updated, thus reducing the network traffic.",PartialUpdater,True,1900-01-01T00:00:00+00:00,False,False,A library for partially updating entities over network.,,267,False,1.0.0-beta
Microsoft,2018-01-26T22:23:32.067Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.SendGrid. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.SendGrid,False,2018-03-26T20:40:33.99+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.SendGrid adds SendGrid binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,SendGrid,Email,windowsazureofficial,Web",59161,True,2.1.0
Microsoft,2018-01-26T22:24:11.88Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.Twilio. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.Twilio,False,2018-03-26T20:40:44.74+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.Twilio adds Twilio binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,Twilio,Email,windowsazureofficial,Web",5326,True,1.1.0
Core.Google.GData.Exttensions,2018-01-26T22:30:00.72Z,43209,84,Package Description,Core.Google.GData.Exttensions,False,1900-01-01T00:00:00+00:00,False,False,,,-1,False,1.0.2
Absolute Professional Services Development,2018-01-26T22:24:01.13Z,43209,84,Absolute Public API wrapper written by Absoulte Professional Services development team.,Com.Absolute.PS.AbsolutePublicAPI,False,1900-01-01T00:00:00+00:00,False,False,,,-1,False,1.1.0
Microsoft,2018-01-26T22:23:04.92Z,23,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.NotificationHubs. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.NotificationHubs,False,2018-03-28T20:17:51.917+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.NotificationHubs adds NotificationHub binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,NotificationHubs,windowsazureofficial,Push",4196,True,1.1.0
Microsoft,2018-01-26T22:21:07.48Z,23,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.DocumentDB. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.DocumentDB,False,2018-03-28T20:17:09.243+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.DocumentDB adds DocumentDB binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,DocumentDB,document,windowsazureofficial,Web",46505,True,1.1.0
Microsoft,2018-01-26T22:23:04.92Z,23,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.NotificationHubs. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.NotificationHubs,False,2018-03-28T20:17:51.917+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.NotificationHubs adds NotificationHub binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,NotificationHubs,windowsazureofficial,Push",4196,True,1.1.0
Microsoft,2018-01-26T22:22:14.527Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.MobileApps. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.MobileApps,False,2018-03-26T20:40:22.77+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.MobileApps adds Mobile App binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,MobileTable,MobileApps,Mobile,Tables,Apps,windowsazureofficial,Web",2615,True,1.1.0
Adrian Stevens,2018-01-26T22:21:48.95Z,7,84,"A light-weight and easy to use cross-platform audio player for Windows UWP, Xamarin.iOS, Xamarin.Android, Xamarin.Mac, Xamarin.tvOS and Xamarin.Forms. Load wav and mp3 files from any location including a shared library. Works well for sound effects or music. Multiple instances can be instantiated to play multiple sources simultaniously.",Xam.Plugin.SimpleAudioPlayer,False,2018-04-13T19:59:42.367+00:00,True,False,Cross-platform audio player for Xamarin and Windows UWP,"audio,sound,music,wav,wave,mp3,xamarin,.net,standard,pcl,portable,shared,plugin,for,windows,uwp,uap,xamarin.android,android,xamarin.forms,forms,xamarin.ios,ios,macos,xamarin.mac,xamarin.tvos",8047,False,1.0.2
Microsoft,2018-01-26T22:21:39.183Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.Http. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.Http,False,2018-03-26T20:40:10.88+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.Http adds Http binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,Http,windowsazureofficial,Web",598852,True,1.0.0
Adrian Stevens,2018-01-26T22:21:48.95Z,7,84,"A light-weight and easy to use cross-platform audio player for Windows UWP, Xamarin.iOS, Xamarin.Android, Xamarin.Mac, Xamarin.tvOS and Xamarin.Forms. Load wav and mp3 files from any location including a shared library. Works well for sound effects or music. Multiple instances can be instantiated to play multiple sources simultaniously.",Xam.Plugin.SimpleAudioPlayer,False,2018-04-13T19:59:42.367+00:00,True,False,Cross-platform audio player for Xamarin and Windows UWP,"audio,sound,music,wav,wave,mp3,xamarin,.net,standard,pcl,portable,shared,plugin,for,windows,uwp,uap,xamarin.android,android,xamarin.forms,forms,xamarin.ios,ios,macos,xamarin.mac,xamarin.tvos",8047,False,1.0.2
Microsoft,2018-01-26T22:21:39.183Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.Http. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.Http,False,2018-03-26T20:40:10.88+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.Http adds Http binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,Http,windowsazureofficial,Web",598852,True,1.0.0
Microsoft,2018-01-26T22:22:14.527Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions.MobileApps. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions.MobileApps,False,2018-03-26T20:40:22.77+00:00,True,False,Microsoft.Azure.WebJobs.Extensions.MobileApps adds Mobile App binders to the WebJobs SDK.,"Microsoft,Azure,WebJobs,Jobs,Extensions,MobileTable,MobileApps,Mobile,Tables,Apps,windowsazureofficial,Web",2615,True,1.1.0
Microsoft,2018-01-26T22:19:33.017Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions,False,2018-03-26T20:41:07.507+00:00,True,False,"Microsoft.Azure.WebJobs.Extensions adds additional triggers, binders and extensions to the WebJobs SDK.","Microsoft,Azure,WebJobs,Jobs,Extensions,Files,Scheduler,Cron,Storage,Table,Blob,Queue,windowsazureofficial,Web",1678816,True,2.1.0
William Ward,2018-01-26T21:57:23.123Z,22,84,Abstractions for interacting and creating MPTT providers,GivePay.Mptt.Core,False,2018-03-29T20:46:08.147+00:00,True,False,,,799,False,0.10.0
Microsoft,2018-01-26T22:19:33.017Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Extensions. For more information, please visit https://azure.microsoft.com/en-us/documentation/articles/websites-webjobs-resources",Microsoft.Azure.WebJobs.Extensions,False,2018-03-26T20:41:07.507+00:00,True,False,"Microsoft.Azure.WebJobs.Extensions adds additional triggers, binders and extensions to the WebJobs SDK.","Microsoft,Azure,WebJobs,Jobs,Extensions,Files,Scheduler,Cron,Storage,Table,Blob,Queue,windowsazureofficial,Web",1678816,True,2.1.0
Pierre Milet,2018-01-26T22:12:20.353Z,63,84,DomainEvents,pmilet.DomainEvents,False,2018-02-16T12:26:49.66+00:00,True,False,,"DDD,DomainEvent",623,False,1.1.1
William Ward,2018-01-26T21:57:34.797Z,22,84,A compatibility shim to extend MPTT functionality to EntityFrameworkCore projects,GivePay.Mptt.EntityFrameworkCore,False,2018-03-29T20:46:18.99+00:00,True,False,,,824,False,0.10.0
Clement O.,2018-01-26T22:03:52.683Z,84,84,Find out which Plugin differences you have between your CRM Assembly and your Local one.,Carfup.XTBPlugins.DeltaAssemblyvsCrm,False,2018-01-26T22:03:52.683+00:00,True,False,Really sweet plugin that does awesome things,"XrmToolBox,Plugin,DeltaAssemblyvsCrm",142057,False,1.2018.1.18
Microsoft,2018-01-26T22:13:09.163Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Host. It also adds rich diagnostics capabilities which makes it easier to monitor the WebJobs in the dashboard. For more information, please visit http://go.microsoft.com/fwlink/?LinkID=320971",Microsoft.Azure.WebJobs,False,2018-03-26T20:41:59.32+00:00,True,False,Microsoft.Azure.WebJobs.Host is a library for writing WebJobs in Microsoft Azure. The host is a container where all the functions in your program can execute. This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Host.,"Microsoft,Azure,WebJobs,Jobs,Storage,Table,Blob,Queue,windowsazureofficial,Web",4101344,True,2.1.0
Google.Gdata.Client.Core,2018-01-26T22:12:39.58Z,84,84,Package Description,Google.Gdata.Client.Core,False,2018-01-26T22:12:39.58+00:00,True,False,,,301,False,1.0.2
Pierre Milet,2018-01-26T22:12:20.353Z,63,84,DomainEvents,pmilet.DomainEvents,False,2018-02-16T12:26:49.66+00:00,True,False,,"DDD,DomainEvent",623,False,1.1.1
Rendy Del Rosario,2018-01-26T22:14:38.173Z,60,84,Receive and handle azure push notifications across Xamarin.iOS and Xamarin.Android,Plugin.AzurePushNotification,False,2018-02-19T16:14:10.593+00:00,True,False,Receive and handle push azure notifications across Xamarin.iOS and Xamarin.Android,"iOS,Android,azure,notifications,hub,push,pcl,xamarin,plugins,xam.pcl,fcm,apn",2272,False,0.1.6
Rendy Del Rosario,2018-01-26T22:14:38.173Z,60,84,Receive and handle azure push notifications across Xamarin.iOS and Xamarin.Android,Plugin.AzurePushNotification,False,2018-02-19T16:14:10.593+00:00,True,False,Receive and handle push azure notifications across Xamarin.iOS and Xamarin.Android,"iOS,Android,azure,notifications,hub,push,pcl,xamarin,plugins,xam.pcl,fcm,apn",2272,False,0.1.6
Microsoft,2018-01-26T22:13:09.163Z,25,84,"This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Host. It also adds rich diagnostics capabilities which makes it easier to monitor the WebJobs in the dashboard. For more information, please visit http://go.microsoft.com/fwlink/?LinkID=320971",Microsoft.Azure.WebJobs,False,2018-03-26T20:41:59.32+00:00,True,False,Microsoft.Azure.WebJobs.Host is a library for writing WebJobs in Microsoft Azure. The host is a container where all the functions in your program can execute. This package contains the runtime assemblies for Microsoft.Azure.WebJobs.Host.,"Microsoft,Azure,WebJobs,Jobs,Storage,Table,Blob,Queue,windowsazureofficial,Web",4101344,True,2.1.0
Google.Gdata.Client.Core,2018-01-26T22:12:39.58Z,84,84,Package Description,Google.Gdata.Client.Core,False,2018-01-26T22:12:39.58+00:00,True,False,,,301,False,1.0.2
Pierre Milet,2018-01-26T22:12:20.353Z,63,84,DomainEvents,pmilet.DomainEvents,False,2018-02-16T12:26:49.66+00:00,True,False,,"DDD,DomainEvent",623,False,1.1.1
Anders Busted-Janum,2018-01-26T22:10:00.5Z,67,84,Extension Methods and Helper classes,Grumpy.Common,False,2018-02-12T08:23:33.193+00:00,True,False,"Extension methods for string, object etc. used in my other projects, this NuGet package do not refer other Packages or Libraries. This library includes code that I have developed, copied from the internet and copied from a few friends. The intention of the library is to make coding easier in other projects.","xml,extension-methods,task,process-information,unique-id",2022,False,1.2.7
Anders Busted-Janum,2018-01-26T22:10:00.5Z,67,84,Extension Methods and Helper classes,Grumpy.Common,False,2018-02-12T08:23:33.193+00:00,True,False,"Extension methods for string, object etc. used in my other projects, this NuGet package do not refer other Packages or Libraries. This library includes code that I have developed, copied from the internet and copied from a few friends. The intention of the library is to make coding easier in other projects.","xml,extension-methods,task,process-information,unique-id",2022,False,1.2.7
Shawn Shi,2018-01-26T22:07:04.393Z,84,84,YZS.Business2 layer to be used by presentation layer to communicate with Repository,YZS.Business2,False,2018-01-26T22:07:04.393+00:00,True,False,YZS.Business2 layer to be used by presentation layer to communicate with Repository,YZS.Business2,759,False,1.0.8
Microsoft,2018-01-26T22:08:16.88Z,25,84,"This library simplifies the task of adding background processing to your Microsoft Azure Web Sites. The SDK uses Microsoft Azure Storage, triggering a function in your program when items are added to Queues and Blobs. A dashboard provides rich monitoring and diagnostics for the programs that you write by using the SDK. For more information, please visit http://go.microsoft.com/fwlink/?LinkID=320971",Microsoft.Azure.WebJobs.Core,False,2018-03-26T20:39:54.927+00:00,True,False,Microsoft.Azure.WebJobs is a library for writing WebJobs in Microsoft Azure. This package contains the runtime assemblies for Microsoft.Azure.WebJobs.,"Microsoft,Azure,WebJobs,Jobs,Storage,Table,Blob,Queue,windowsazureofficial,Web",4080154,True,2.1.0
Microsoft,2018-01-26T22:08:16.88Z,25,84,"This library simplifies the task of adding background processing to your Microsoft Azure Web Sites. The SDK uses Microsoft Azure Storage, triggering a function in your program when items are added to Queues and Blobs. A dashboard provides rich monitoring and diagnostics for the programs that you write by using the SDK. For more information, please visit http://go.microsoft.com/fwlink/?LinkID=320971",Microsoft.Azure.WebJobs.Core,False,2018-03-26T20:39:54.927+00:00,True,False,Microsoft.Azure.WebJobs is a library for writing WebJobs in Microsoft Azure. This package contains the runtime assemblies for Microsoft.Azure.WebJobs.,"Microsoft,Azure,WebJobs,Jobs,Storage,Table,Blob,Queue,windowsazureofficial,Web",4080154,True,2.1.0
Shawn Shi,2018-01-26T22:07:04.393Z,84,84,YZS.Business2 layer to be used by presentation layer to communicate with Repository,YZS.Business2,False,2018-01-26T22:07:04.393+00:00,True,False,YZS.Business2 layer to be used by presentation layer to communicate with Repository,YZS.Business2,759,False,1.0.8
Shawn Shi,2018-01-26T22:04:46.733Z,84,84,YZS.Entity layer to be shared by other layers. It is an entity layer mapped from database tables or views.,YZS.Entity,False,2018-01-26T22:04:46.733+00:00,True,False,YZS.Entity layer to be shared by other layers. It is an entity layer mapped from database tables or views.,"YZS,Entity",405,False,1.0.8
Shawn Shi,2018-01-26T22:04:14.043Z,84,84,YZS Common Util,YZS.Common.Util,False,2018-01-26T22:04:14.043+00:00,True,False,YZS. Common.Util to be used by other YZS base class libraries and external class libraries and/or applications.,YZS.Common.Util,551,False,1.0.8
Shawn Shi,2018-01-26T22:04:46.733Z,84,84,YZS.Entity layer to be shared by other layers. It is an entity layer mapped from database tables or views.,YZS.Entity,False,2018-01-26T22:04:46.733+00:00,True,False,YZS.Entity layer to be shared by other layers. It is an entity layer mapped from database tables or views.,"YZS,Entity",405,False,1.0.8
Shawn Shi,2018-01-26T22:04:14.043Z,84,84,YZS Common Util,YZS.Common.Util,False,2018-01-26T22:04:14.043+00:00,True,False,YZS. Common.Util to be used by other YZS base class libraries and external class libraries and/or applications.,YZS.Common.Util,551,False,1.0.8
ferron,2018-01-26T21:55:13.747Z,84,84,A simple library used for simulating http context during unit or integration testing,HttpSimulator,False,2018-01-26T21:55:13.747+00:00,True,False,,,45510,False,2.2.1
Koen Deleij,2018-01-26T21:53:57.167Z,1,84,Mvvmcross plugin to easily cross style fonts and colors,Redhotminute.Mvx.Plugin.Style,True,2018-04-19T20:30:33.48+00:00,True,False,,"mvvm,mvvmcross,xamarin,monodroid,monotouch,style,fonts",1027,False,1.1.0-beta14
ferron,2018-01-26T21:55:13.747Z,84,84,A simple library used for simulating http context during unit or integration testing,HttpSimulator,False,2018-01-26T21:55:13.747+00:00,True,False,,,45510,False,2.2.1
