OctoPack: ['NuGet.Core', 'NuGet.Server', 'Antlr.Unofficial', 'NuGet.Build', 'NuGet.CommandLine']
CommandLineParser: ['CS-Script', 'Metrics', 'UnconstrainedMelody', 'PowerArgs', 'CIAPI']
RabbitMQ.Client: ['RabbitMQ.ServiceModel', 'MassTransit.RabbitMQ', 'Rebus.RabbitMQ', 'EasyNetQ', 'MassTransit']
NuGet.Build: ['OctoPack', 'NuGet.Core', 'NuGet.Server', 'Antlr.Unofficial', 'NuGet.CommandLine']
Microsoft.Tpl.Dataflow: ['Microsoft.Web.Infrastructure', 'System.Threading.Tasks', 'Microsoft.Experience.CloudFx', 'ExcelDataReader', 'Microsoft.UnitTestFramework.Extensions']
Moment.js: ['Sammy.js', 'Backbone.js', 'mustache.js', 'underscore.js', 'yepnope.js']
MySql.Data: ['MySQL.Data.Entities', 'MySql.Web', 'dotConnect.Express.for.MySQL', 'Simple.Data.Mysql', 'Xtensive.Orm.MySql']
OpenCover: ['ReportGenerator', 'Spackle', 'NFeature', 'FileHelpers', 'MSTestExtensions']
Ninject.Web.Common: ['Ninject.Web', 'Ninject', 'Ninject.Extensions.Conventions', 'Ninject.Extensions.NamedScope', 'Ninject.Extensions.Factory']
Iesi.Collections: ['C5', 'NHibernate.Caches.SysCache2', 'NHibernate.Caches.SysCache', 'NHibernate', 'NHibernate.Castle']
RazorEngine: ['fluent-email', 'RazorGenerator.Templating', 'Handlebars.js', 'Microsoft.Web.Infrastructure', 'Microsoft.Experience.CloudFx']
AutoFixture: ['AutoFixture.AutoMoq', 'AutoFixture.AutoRhinoMocks', 'AutoFixture.Idioms', 'AutoFixture.Xunit', 'Hyprlinkr']
NHibernate: ['NHibernate.Castle', 'NHibernate.Caches.SysCache', 'NHibernate.Caches.SysCache2', 'gribble.nhibernate', 'NHibernate.Mapping.Attributes']
structuremap: ['Rebus.StructureMap', 'StructureMap.MVC3', 'StructureMap-MVC3', 'MassTransit.StructureMap', 'MvcExtensions.StructureMap']
EPPlus: ['Excel-DNA', 'ExcelDataReader', 'ClosedXML', 'Templater', 'LinqToExcel']
elmah: ['elmah.corelibrary', 'elmah.sqlserver', 'elmah.xml', 'Elmah.MVC', 'elmah.sqlservercompact']
Sendgrid: ['FactualDriver', 'CIAPI', 'Windows7APICodePack', 'Hyprlinkr', 'campaignmonitor-api']
