NLog: ['NLog.Extended', 'Common.Logging.NLog20', 'Topshelf.NLog', 'NLog.Schema', 'Castle.Core-NLog']
Autofac: ['Autofac.Web', 'Autofac.Wcf', 'Autofac.Mef', 'Rebus.Autofac', 'MassTransit.Autofac']
knockoutjs: ['Knockout.Validation', 'MVVMHelpers.Metro', 'Catel.MVVM', 'MvvmLightLibs', 'ZeroClipboard']
WindowsAzure.ServiceBus: ['Microsoft.WindowsAzure.ConfigurationManager', 'Rhino.ServiceBus.References', 'Rhino.ServiceBus', 'Microsoft.WindowsAzure.Caching', 'WindowsAzure.Storage']
CommonServiceLocator: ['CommonServiceLocator.Silverlight', 'CommonServiceLocator.WindsorAdapter', 'LightInject', 'Spring.Core', 'TinyIoC']
RestSharp: ['Hammock', 'System.Web.Http.Common', 'AutoFixture.AutoFakeItEasy', 'EasyHttp', 'System.Net.Http']
NuGet.CommandLine: ['NuGet.Core', 'OctoPack', 'NuGet.Server', 'NuGet.Build', 'NuGet.Bootstrapper']
Unity: ['Unity.Interception', 'LightInject', 'Spring.Core', 'TinyIoC', 'MefContrib']
FluentAssertions: ['ExpectedObjects', 'TestStack.BDDfy', 'Xbehave', 'SpecsFor', 'Machine.Specifications']
Microsoft.AspNet.WebPages.WebData: ['Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.OAuth', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.WebPages', 'Microsoft.AspNet.Razor']
Microsoft.AspNet.WebPages.Data: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.OAuth', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.WebPages', 'Microsoft.AspNet.Razor']
HtmlAgilityPack: ['CsQuery', 'jQuery.Templates', 'd3', 'JasmineTest', 'Saxon-HE']
Dapper: ['NPoco', 'Insight.Database', 'FluentData', 'dbup', 'FluentMigrator']
DotNetOpenAuth.Core: ['DotNetOpenAuth.OAuth.Core', 'DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.Core.UI', 'DotNetOpenAuth.OpenId.Core', 'DotNetOpenAuth.OAuth2.Core']
DotNetOpenAuth.OpenId.Core: ['DotNetOpenAuth.OpenId.Core.UI', 'DotNetOpenAuth.Core', 'DotNetOpenAuth.OAuth.Core', 'DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.Core.UI']
DotNetOpenAuth.OpenId.RelyingParty: ['DotNetOpenAuth.OpenId.RelyingParty.UI', 'DotNetOpenAuth.OpenId.Provider', 'DotNetOpenAuth.OpenId.Core', 'DotNetOpenAuth.OpenIdOAuth', 'DotNetOpenAuth.OpenId.Provider.UI']
DotNetOpenAuth.OAuth.Core: ['DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.Core', 'DotNetOpenAuth.Core.UI', 'DotNetOpenAuth.OpenId.Core', 'DotNetOpenAuth.OAuth2.Core']
DotNetOpenAuth.OAuth.Consumer: ['DotNetOpenAuth.OAuth.Core', 'DotNetOpenAuth.OAuth2.Client', 'DotNetOpenAuth.OAuth.Common', 'DotNetOpenAuth.OpenIdOAuth', 'DotNetOpenAuth.OAuth2.Client.UI']
DotNetOpenAuth.AspNet: ['DotNetOpenAuth.OpenId.RelyingParty', 'DotNetOpenAuth.Core', 'DotNetOpenAuth.OAuth.Consumer', 'DotNetOpenAuth.OpenIdOAuth', 'DotNetOpenAuth.OpenId.RelyingParty.UI']
Ninject: ['Ninject.Extensions.Conventions', 'Ninject.Extensions.NamedScope', 'Ninject.Extensions.Factory', 'Ninject.Extensions.ContextPreservation', 'Ninject.Extensions.Logging']
Microsoft.AspNet.WebPages.OAuth: ['Microsoft.AspNet.WebPages.WebData', 'Microsoft.AspNet.WebPages.Data', 'Microsoft.AspNet.WebPages.Administration', 'Microsoft.AspNet.WebPages', 'Microsoft.AspNet.Razor']
Selenium.WebDriver: ['Selenium.Support', 'Selenium.WebDriverBackedSelenium', 'SimpleBrowser.WebDriver', 'SizSelCsZzz', 'Selenium.RC']
FluentValidation: ['FluentValidation.MVC3', 'FluentValidation.MVC4', 'Catel.Extensions.FluentValidation', 'Nancy.Validation.FluentValidation', 'ServiceStack.Mvc']
NSubstitute: ['Machine.Fakes.NSubstitute', 'AutofacContrib.NSubstitute', 'Ninject.MockingKernel.NSubstitute', 'NUnit.Mocks', 'Should']
Common.Logging: ['Common.Logging.NLog20', 'Common.Logging.Log4Net1211', 'Common.Logging.Log4Net1210', 'Common.Logging.NLog', 'Common.Logging.Log4Net']
CsvHelper: ['LINQtoCSV', 'LinqToExcel', 'LinqToExcel_x64', 'CsvTools', 'ServiceStack.Text']
Microsoft.AspNet.Providers.Core: ['Microsoft.AspNet.Providers.LocalDb', 'Microsoft.AspNet.Providers', 'Microsoft.AspNet.Providers.SqlCE', 'System.Web.Providers', 'System.Web.Providers.Core']
Selenium.Support: ['Selenium.WebDriver', 'Selenium.WebDriverBackedSelenium', 'SimpleBrowser.WebDriver', 'SizSelCsZzz', 'Selenium.RC']
